blockSize:  13080	 numOfThread:    246	 matchCount: 21625	 runningTime:    20.000000
blockSize:  13027	 numOfThread:    247	 matchCount: 21625	 runningTime:    20.000000
blockSize:  12974	 numOfThread:    248	 matchCount: 21625	 runningTime:    20.000000
blockSize:  12922	 numOfThread:    249	 matchCount: 21625	 runningTime:    30.000000
blockSize:  12870	 numOfThread:    250	 matchCount: 21625	 runningTime:    10.000000
blockSize:  12819	 numOfThread:    251	 matchCount: 21625	 runningTime:    20.000000
blockSize:  12768	 numOfThread:    252	 matchCount: 21625	 runningTime:    20.000000
blockSize:  12718	 numOfThread:    253	 matchCount: 21625	 runningTime:    20.000000
blockSize:  12668	 numOfThread:    254	 matchCount: 21625	 runningTime:    30.000000
blockSize:  12618	 numOfThread:    255	 matchCount: 21625	 runningTime:    10.000000
blockSize:  12569	 numOfThread:    256	 matchCount: 21625	 runningTime:    20.000000
blockSize:  12520	 numOfThread:    257	 matchCount: 21625	 runningTime:    30.000000
blockSize:  12471	 numOfThread:    258	 matchCount: 21625	 runningTime:    20.000000
blockSize:  12423	 numOfThread:    259	 matchCount: 21625	 runningTime:    20.000000
blockSize:  12375	 numOfThread:    260	 matchCount: 21625	 runningTime:    10.000000
blockSize:  12328	 numOfThread:    261	 matchCount: 21625	 runningTime:    20.000000
blockSize:  12281	 numOfThread:    262	 matchCount: 21625	 runningTime:    20.000000
blockSize:  12234	 numOfThread:    263	 matchCount: 21625	 runningTime:    30.000000
blockSize:  12188	 numOfThread:    264	 matchCount: 21625	 runningTime:    20.000000
blockSize:  12142	 numOfThread:    265	 matchCount: 21625	 runningTime:    10.000000
blockSize:  12096	 numOfThread:    266	 matchCount: 21625	 runningTime:    30.000000
blockSize:  12051	 numOfThread:    267	 matchCount: 21625	 runningTime:    20.000000
blockSize:  12006	 numOfThread:    268	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11961	 numOfThread:    269	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11917	 numOfThread:    270	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11873	 numOfThread:    271	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11829	 numOfThread:    272	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11786	 numOfThread:    273	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11743	 numOfThread:    274	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11700	 numOfThread:    275	 matchCount: 21625	 runningTime:    30.000000
blockSize:  11658	 numOfThread:    276	 matchCount: 21625	 runningTime:    10.000000
blockSize:  11616	 numOfThread:    277	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11574	 numOfThread:    278	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11532	 numOfThread:    279	 matchCount: 21625	 runningTime:    30.000000
blockSize:  11491	 numOfThread:    280	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11450	 numOfThread:    281	 matchCount: 21625	 runningTime:    10.000000
blockSize:  11410	 numOfThread:    282	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11369	 numOfThread:    283	 matchCount: 21625	 runningTime:    30.000000
blockSize:  11329	 numOfThread:    284	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11290	 numOfThread:    285	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11250	 numOfThread:    286	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11211	 numOfThread:    287	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11172	 numOfThread:    288	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11133	 numOfThread:    289	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11095	 numOfThread:    290	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11057	 numOfThread:    291	 matchCount: 21625	 runningTime:    20.000000
blockSize:  11019	 numOfThread:    292	 matchCount: 21625	 runningTime:    30.000000
blockSize:  10981	 numOfThread:    293	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10944	 numOfThread:    294	 matchCount: 21625	 runningTime:    10.000000
blockSize:  10907	 numOfThread:    295	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10870	 numOfThread:    296	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10834	 numOfThread:    297	 matchCount: 21625	 runningTime:    30.000000
blockSize:  10797	 numOfThread:    298	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10761	 numOfThread:    299	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10725	 numOfThread:    300	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10690	 numOfThread:    301	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10654	 numOfThread:    302	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10619	 numOfThread:    303	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10584	 numOfThread:    304	 matchCount: 21625	 runningTime:    30.000000
blockSize:  10549	 numOfThread:    305	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10515	 numOfThread:    306	 matchCount: 21625	 runningTime:    10.000000
blockSize:  10481	 numOfThread:    307	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10447	 numOfThread:    308	 matchCount: 21625	 runningTime:    30.000000
blockSize:  10413	 numOfThread:    309	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10379	 numOfThread:    310	 matchCount: 21625	 runningTime:    10.000000
blockSize:  10346	 numOfThread:    311	 matchCount: 21625	 runningTime:    30.000000
blockSize:  10313	 numOfThread:    312	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10280	 numOfThread:    313	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10247	 numOfThread:    314	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10214	 numOfThread:    315	 matchCount: 21625	 runningTime:    30.000000
blockSize:  10182	 numOfThread:    316	 matchCount: 21625	 runningTime:    10.000000
blockSize:  10150	 numOfThread:    317	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10118	 numOfThread:    318	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10086	 numOfThread:    319	 matchCount: 21625	 runningTime:    20.000000
blockSize:  10055	 numOfThread:    320	 matchCount: 21625	 runningTime:    30.000000
blockSize:  10023	 numOfThread:    321	 matchCount: 21625	 runningTime:    20.000000
blockSize:  9992	 numOfThread:    322	 matchCount: 21625	 runningTime:    20.000000
blockSize:  9961	 numOfThread:    323	 matchCount: 21625	 runningTime:    20.000000
blockSize:  9931	 numOfThread:    324	 matchCount: 21625	 runningTime:    20.000000
blockSize:  9900	 numOfThread:    325	 matchCount: 21625	 runningTime:    30.000000
blockSize:  9870	 numOfThread:    326	 matchCount: 21625	 runningTime:    10.000000
blockSize:  9840	 numOfThread:    327	 matchCount: 21625	 runningTime:    20.000000
blockSize:  9810	 numOfThread:    328	 matchCount: 21625	 runningTime:    20.000000
blockSize:  9780	 numOfThread:    329	 matchCount: 21625	 runningTime:    30.000000
blockSize:  9750	 numOfThread:    330	 matchCount: 21625	 runningTime:    20.000000
blockSize:  9721	 numOfThread:    331	 matchCount: 21625	 runningTime:    10.000000
blockSize:  9691	 numOfThread:    332	 matchCount: 21625	 runningTime:    30.000000
blockSize:  9662	 numOfThread:    333	 matchCount: 21625	 runningTime:    20.000000
blockSize:  9633	 numOfThread:    334	 matchCount: 21625	 runningTime:    20.000000
blockSize:  9605	 numOfThread:    335	 matchCount: 21625	 runningTime:    20.000000
blockSize:  9576	 numOfThread:    336	 matchCount: 21625	 runningTime:    20.000000
blockSize:  9548	 numOfThread:    337	 matchCount: 21625	 runningTime:    30.000000
blockSize:  9519	 numOfThread:    338	 matchCount: 21625	 runningTime:    20.000000
blockSize:  9491	 numOfThread:    339	 matchCount: 21625	 runningTime:    10.000000
blockSize:  9463	 numOfThread:    340	 matchCount: 21625	 runningTime:    30.000000
blockSize:  9436	 numOfThread:    341	 matchCount: 21625	 runningTime:    20.000000
